Player_ID,Team_ID,Rank,Name,Team_abv,Season
107,9,1,James Harden,HOU,2019 - 2020
82,24,2,Damian Lillard,POR,2019 - 2020
199,16,3,Devin Booker,PHO,2019 - 2020
140,18,4,Giannis Antetokounmpo,MIL,2019 - 2020
50,8,5,Trae Young,ATL,2019 - 2020
106,11,6,Luka DonÄiÄ,DAL,2019 - 2020
84,20,7,Bradley Beal,WAS,2019 - 2020
28,4,8,LeBron James,LAL,2019 - 2020
108,22,9,Donovan Mitchell,UTA,2019 - 2020
171,4,10,Anthony Davis,LAL,2019 - 2020
159,24,11,CJ McCollum,POR,2019 - 2020
13,9,12,Russell Westbrook,HOU,2019 - 2020
139,28,13,Jayson Tatum,BOS,2019 - 2020
174,1,14,Kawhi Leonard,LAC,2019 - 2020
33,29,15,Zach LaVine,CHI,2019 - 2020
172,23,16,DeMar DeRozan,SAS,2019 - 2020
167,3,17,Brandon Ingram,NOP,2019 - 2020
190,26,18,Nikola JokiÄ,DEN,2019 - 2020
203,27,19,Tobias Harris,PHI,2019 - 2020
39,2,20,Buddy Hield,SAC,2019 - 2020
151,5,21,Pascal Siakam,TOR,2019 - 2020
125,19,22,Collin Sexton,CLE,2019 - 2020
5,7,23,Shai Gilgeous-Alexander,OKC,2019 - 2020
137,14,24,T.J. Warren,IND,2019 - 2020
113,21,25,Spencer Dinwiddie,BRK,2019 - 2020
6,18,26,Khris Middleton,MIL,2019 - 2020
145,22,27,Bojan BogdanoviÄ,UTA,2019 - 2020
85,12,28,Julius Randle,NYK,2019 - 2020
96,7,29,Chris Paul,OKC,2019 - 2020
89,7,30,Dennis SchrÃ¶der,OKC,2019 - 2020
59,15,31,Evan Fournier,ORL,2019 - 2020
169,15,32,Nikola VuÄeviÄ,ORL,2019 - 2020
117,25,33,Ja Morant,MEM,2019 - 2020
69,1,34,Lou Williams,LAC,2019 - 2020
129,25,35,Dillon Brooks,MEM,2019 - 2020
104,,36,Andrew Wiggins,2TM,2019 - 2020
104,6,36,Andrew Wiggins,MIN,2019 - 2020
104,13,36,Andrew Wiggins,GSW,2019 - 2020
48,1,37,Montrezl Harrell,LAC,2019 - 2020
146,27,38,Joel Embiid,PHI,2019 - 2020
127,3,39,Jrue Holiday,NOP,2019 - 2020
14,11,40,Kristaps PorziÅÄ£is,DAL,2019 - 2020
201,7,41,Danilo Gallinari,OKC,2019 - 2020
99,28,42,Jaylen Brown,BOS,2019 - 2020
130,30,43,Jimmy Butler,MIA,2019 - 2020
110,14,44,Domantas Sabonis,IND,2019 - 2020
95,30,45,Bam Adebayo,MIA,2019 - 2020
22,10,46,Devonte' Graham,CHO,2019 - 2020
163,28,47,Kemba Walker,BOS,2019 - 2020
20,10,48,Terry Rozier,CHO,2019 - 2020
116,5,49,Kyle Lowry,TOR,2019 - 2020
62,11,50,Tim Hardaway Jr.,DAL,2019 - 2020
