Player_ID,Team_ID,Rank,Name,Team_abv,Season
5,7,1,Shai Gilgeous-Alexander,OKC,2024 - 2025
100,6,2,Anthony Edwards,MIN,2024 - 2025
190,26,3,Nikola JokiÄ,DEN,2024 - 2025
140,18,4,Giannis Antetokounmpo,MIL,2024 - 2025
139,28,5,Jayson Tatum,BOS,2024 - 2025
199,16,6,Devin Booker,PHO,2024 - 2025
50,8,7,Trae Young,ATL,2024 - 2025
27,30,8,Tyler Herro,MIA,2024 - 2025
179,17,9,Cade Cunningham,DET,2024 - 2025
107,1,10,James Harden,LAC,2024 - 2025
10,12,11,Karl-Anthony Towns,NYK,2024 - 2025
33,,12,Zach LaVine,2TM,2024 - 2025
33,29,12,Zach LaVine,CHI,2024 - 2025
33,2,12,Zach LaVine,SAC,2024 - 2025
86,9,13,Jalen Green,HOU,2024 - 2025
154,13,14,Stephen Curry,GSW,2024 - 2025
172,2,15,DeMar DeRozan,SAC,2024 - 2025
28,4,16,LeBron James,LAL,2024 - 2025
108,19,17,Donovan Mitchell,CLE,2024 - 2025
195,12,18,Jalen Brunson,NYK,2024 - 2025
43,16,19,Kevin Durant,PHO,2024 - 2025
120,25,20,Jaren Jackson Jr.,MEM,2024 - 2025
151,14,21,Pascal Siakam,IND,2024 - 2025
58,19,22,Darius Garland,CLE,2024 - 2025
119,29,23,Coby White,CHI,2024 - 2025
8,7,24,Jalen Williams,OKC,2024 - 2025
19,4,25,Austin Reaves,LAL,2024 - 2025
186,,26,De'Aaron Fox,2TM,2024 - 2025
186,2,26,De'Aaron Fox,SAC,2024 - 2025
186,23,26,De'Aaron Fox,SAS,2024 - 2025
21,9,27,Alperen ÅengÃ¼n,HOU,2024 - 2025
36,15,28,Franz Wagner,ORL,2024 - 2025
82,18,29,Damian Lillard,MIL,2024 - 2025
155,12,30,Mikal Bridges,NYK,2024 - 2025
102,26,31,Jamal Murray,DEN,2024 - 2025
95,30,32,Bam Adebayo,MIA,2024 - 2025
106,,33,Luka DonÄiÄ,2TM,2024 - 2025
106,11,33,Luka DonÄiÄ,DAL,2024 - 2025
106,4,33,Luka DonÄiÄ,LAL,2024 - 2025
99,28,34,Jaylen Brown,BOS,2024 - 2025
178,26,35,Michael Porter Jr.,DEN,2024 - 2025
177,20,36,Jordan Poole,WAS,2024 - 2025
56,27,37,Tyrese Maxey,PHI,2024 - 2025
197,14,38,Tyrese Haliburton,IND,2024 - 2025
169,29,39,Nikola VuÄeviÄ,CHI,2024 - 2025
136,24,40,Anfernee Simons,POR,2024 - 2025
37,1,41,Ivica Zubac,LAC,2024 - 2025
110,2,42,Domantas Sabonis,SAC,2024 - 2025
165,17,43,Malik Beasley,DET,2024 - 2025
42,24,44,Shaedon Sharpe,POR,2024 - 2025
63,12,45,OG Anunoby,NYK,2024 - 2025
93,25,46,Desmond Bane,MEM,2024 - 2025
66,19,47,Evan Mobley,CLE,2024 - 2025
97,1,48,Norman Powell,LAC,2024 - 2025
149,10,49,Miles Bridges,CHO,2024 - 2025
85,6,50,Julius Randle,MIN,2024 - 2025
