Player_ID,Team_ID,Rank,Name,Team_abv,Season
5,7,1,Shai Gilgeous-Alexander,OKC,2024 - 2025
190,26,2,Nikola JokiÄ,DEN,2024 - 2025
140,18,3,Giannis Antetokounmpo,MIL,2024 - 2025
139,28,4,Jayson Tatum,BOS,2024 - 2025
108,19,5,Donovan Mitchell,CLE,2024 - 2025
28,4,6,LeBron James,LAL,2024 - 2025
179,17,7,Cade Cunningham,DET,2024 - 2025
100,6,7,Anthony Edwards,MIN,2024 - 2025
154,13,9,Stephen Curry,GSW,2024 - 2025
195,12,10,Jalen Brunson,NYK,2024 - 2025
107,1,10,James Harden,LAC,2024 - 2025
66,19,10,Evan Mobley,CLE,2024 - 2025
