Player_ID,Team_ID,Shirt_No,Name,Experience,Season,Team_abv
49,13,95,Juan Toscano-Anderson,2,2021-2022,GSW
60,13,23,Draymond Green,9,2021-2022,GSW
61,13,9,Andre Iguodala,17,2021-2022,GSW
67,13,5,Kevon Looney,6,2021-2022,GSW
68,13,4,Moses Moody,R,2021-2022,GSW
80,13,12,Quinndary Weatherspoon,2,2021-2022,GSW
91,13,11,Klay Thompson,8,2021-2022,GSW
104,13,22,Andrew Wiggins,7,2021-2022,GSW
124,13,1,Damion Lee,4,2021-2022,GSW
141,13,2,Chris Chiozza,3,2021-2022,GSW
154,13,30,Stephen Curry,12,2021-2022,GSW
168,13,21,Jeff Dowtin Jr.,R,2021-2022,GSW
175,13,8,Nemanja Bjelica,6,2021-2022,GSW
177,13,3,Jordan Poole,2,2021-2022,GSW
183,13,0,Jonathan Kuminga,R,2021-2022,GSW
188,13,0,Gary Payton II,5,2021-2022,GSW
189,13,32,Otto Porter Jr.,8,2021-2022,GSW
