Player_ID,Team_ID,Rank,Name,Team_abv,Season
106,11,1,Luka DonÄiÄ,DAL,2023 - 2024
5,7,2,Shai Gilgeous-Alexander,OKC,2023 - 2024
140,18,3,Giannis Antetokounmpo,MIL,2023 - 2024
195,12,4,Jalen Brunson,NYK,2023 - 2024
190,26,5,Nikola JokiÄ,DEN,2023 - 2024
100,6,6,Anthony Edwards,MIN,2023 - 2024
43,16,7,Kevin Durant,PHO,2023 - 2024
139,28,8,Jayson Tatum,BOS,2023 - 2024
186,2,9,De'Aaron Fox,SAC,2023 - 2024
154,13,10,Stephen Curry,GSW,2023 - 2024
172,29,11,DeMar DeRozan,CHI,2023 - 2024
171,4,12,Anthony Davis,LAL,2023 - 2024
199,16,13,Devin Booker,PHO,2023 - 2024
28,4,14,LeBron James,LAL,2023 - 2024
56,27,15,Tyrese Maxey,PHI,2023 - 2024
166,15,16,Paolo Banchero,ORL,2023 - 2024
82,18,17,Damian Lillard,MIL,2023 - 2024
17,8,18,Dejounte Murray,ATL,2023 - 2024
151,,19,Pascal Siakam,2TM,2023 - 2024
151,5,19,Pascal Siakam,TOR,2023 - 2024
151,14,19,Pascal Siakam,IND,2023 - 2024
65,1,20,Paul George,LAC,2023 - 2024
174,1,21,Kawhi Leonard,LAC,2023 - 2024
99,28,22,Jaylen Brown,BOS,2023 - 2024
86,9,23,Jalen Green,HOU,2023 - 2024
155,21,24,Mikal Bridges,BRK,2023 - 2024
15,3,25,Zion Williamson,NOP,2023 - 2024
110,2,26,Domantas Sabonis,SAC,2023 - 2024
90,20,27,Kyle Kuzma,WAS,2023 - 2024
46,23,28,Victor Wembanyama,SAS,2023 - 2024
119,29,29,Coby White,CHI,2023 - 2024
121,11,30,Kyrie Irving,DAL,2023 - 2024
120,25,31,Jaren Jackson Jr.,MEM,2023 - 2024
138,21,32,Cam Thomas,BRK,2023 - 2024
108,19,33,Donovan Mitchell,CLE,2023 - 2024
125,22,34,Collin Sexton,UTA,2023 - 2024
149,10,35,Miles Bridges,CHO,2023 - 2024
36,15,36,Franz Wagner,ORL,2023 - 2024
179,17,37,Cade Cunningham,DET,2023 - 2024
197,14,38,Tyrese Haliburton,IND,2023 - 2024
50,8,39,Trae Young,ATL,2023 - 2024
91,13,40,Klay Thompson,GSW,2023 - 2024
169,29,41,Nikola VuÄeviÄ,CHI,2023 - 2024
157,4,42,D'Angelo Russell,LAL,2023 - 2024
95,30,43,Bam Adebayo,MIA,2023 - 2024
45,7,44,Chet Holmgren,OKC,2023 - 2024
177,20,45,Jordan Poole,WAS,2023 - 2024
178,26,46,Michael Porter Jr.,DEN,2023 - 2024
8,7,47,Jalen Williams,OKC,2023 - 2024
146,27,48,Joel Embiid,PHI,2023 - 2024
10,6,49,Karl-Anthony Towns,MIN,2023 - 2024
160,8,50,Bogdan BogdanoviÄ,ATL,2023 - 2024
