Player_ID,Team_ID,Rank,Name,Team_abv,Season
190,26,1,Nikola JokiÄ,DEN,2020 - 2021
146,27,2,Joel Embiid,PHI,2020 - 2021
154,13,3,Stephen Curry,GSW,2020 - 2021
140,18,4,Giannis Antetokounmpo,MIL,2020 - 2021
96,16,5,Chris Paul,PHO,2020 - 2021
106,11,6,Luka DonÄiÄ,DAL,2020 - 2021
82,24,7,Damian Lillard,POR,2020 - 2021
85,12,8,Julius Randle,NYK,2020 - 2021
44,,9,Derrick Rose,TOT,2020 - 2021
25,22,10,Rudy Gobert,UTA,2020 - 2021
13,20,11,Russell Westbrook,WAS,2020 - 2021
161,27,12,Ben Simmons,PHI,2020 - 2021
107,,13,James Harden,TOT,2020 - 2021
28,4,13,LeBron James,LAL,2020 - 2021
174,1,13,Kawhi Leonard,LAC,2020 - 2021
