Player_ID,Team_ID,Shirt_No,Name,Experience,Season,Team_abv
7,28,20,JD Davison,1,2023-2024,BOS
12,28,88,Neemias Queta,2,2023-2024,BOS
14,28,8,Kristaps PorziÅÄ£is,7,2023-2024,BOS
16,28,45,Dalano Banton,2,2023-2024,BOS
18,28,40,Luke Kornet,6,2023-2024,BOS
38,28,42,Al Horford,16,2023-2024,BOS
52,28,44,Jaden Springer,2,2023-2024,BOS
55,28,77,Lamar Stevens,3,2023-2024,BOS
99,28,7,Jaylen Brown,7,2023-2024,BOS
105,28,50,Svi Mykhailiuk,5,2023-2024,BOS
127,28,4,Jrue Holiday,14,2023-2024,BOS
128,28,26,Xavier Tillman Sr.,3,2023-2024,BOS
133,28,12,Oshae Brissett,4,2023-2024,BOS
139,28,0,Jayson Tatum,6,2023-2024,BOS
153,28,9,Derrick White,6,2023-2024,BOS
185,28,13,Drew Peterson,R,2023-2024,BOS
192,28,30,Sam Hauser,2,2023-2024,BOS
196,28,11,Payton Pritchard,3,2023-2024,BOS
198,28,27,Jordan Walsh,R,2023-2024,BOS
