Player_ID,Team_ID,Rank,Name,Team_abv,Season
139,28,1,Jayson Tatum,BOS,2022 - 2023
146,27,2,Joel Embiid,PHI,2022 - 2023
106,11,3,Luka DonÄiÄ,DAL,2022 - 2023
5,7,4,Shai Gilgeous-Alexander,OKC,2022 - 2023
140,18,5,Giannis Antetokounmpo,MIL,2022 - 2023
100,6,6,Anthony Edwards,MIN,2022 - 2023
85,12,7,Julius Randle,NYK,2022 - 2023
108,19,8,Donovan Mitchell,CLE,2022 - 2023
50,8,9,Trae Young,ATL,2022 - 2023
33,29,10,Zach LaVine,CHI,2022 - 2023
82,24,11,Damian Lillard,POR,2022 - 2023
186,2,12,De'Aaron Fox,SAC,2022 - 2023
172,29,13,DeMar DeRozan,CHI,2022 - 2023
99,28,14,Jaylen Brown,BOS,2022 - 2023
151,5,15,Pascal Siakam,TOR,2022 - 2023
40,22,16,Lauri Markkanen,UTA,2022 - 2023
190,26,17,Nikola JokiÄ,DEN,2022 - 2023
86,9,18,Jalen Green,HOU,2022 - 2023
177,13,19,Jordan Poole,GSW,2022 - 2023
155,,20,Mikal Bridges,2TM,2022 - 2023
155,16,20,Mikal Bridges,PHO,2022 - 2023
155,21,20,Mikal Bridges,BRK,2022 - 2023
154,13,21,Stephen Curry,GSW,2022 - 2023
195,12,22,Jalen Brunson,NYK,2022 - 2023
121,,23,Kyrie Irving,2TM,2022 - 2023
121,21,23,Kyrie Irving,BRK,2022 - 2023
121,11,23,Kyrie Irving,DAL,2022 - 2023
117,25,24,Ja Morant,MEM,2022 - 2023
28,4,25,LeBron James,LAL,2022 - 2023
159,3,26,CJ McCollum,NOP,2022 - 2023
95,30,27,Bam Adebayo,MIA,2022 - 2023
17,8,28,Dejounte Murray,ATL,2022 - 2023
110,2,29,Domantas Sabonis,SAC,2022 - 2023
91,13,30,Klay Thompson,GSW,2022 - 2023
14,20,31,Kristaps PorziÅÄ£is,WAS,2022 - 2023
58,19,32,Darius Garland,CLE,2022 - 2023
36,15,33,Franz Wagner,ORL,2022 - 2023
199,16,34,Devin Booker,PHO,2022 - 2023
130,30,35,Jimmy Butler,MIA,2022 - 2023
171,4,36,Anthony Davis,LAL,2022 - 2023
169,29,37,Nikola VuÄeviÄ,CHI,2022 - 2023
166,15,38,Paolo Banchero,ORL,2022 - 2023
170,12,39,RJ Barrett,NYK,2022 - 2023
193,23,40,Keldon Johnson,SAS,2022 - 2023
113,,41,Spencer Dinwiddie,2TM,2022 - 2023
113,11,41,Spencer Dinwiddie,DAL,2022 - 2023
113,21,41,Spencer Dinwiddie,BRK,2022 - 2023
43,,42,Kevin Durant,2TM,2022 - 2023
43,21,42,Kevin Durant,BRK,2022 - 2023
43,16,42,Kevin Durant,PHO,2022 - 2023
90,20,43,Kyle Kuzma,WAS,2022 - 2023
27,30,44,Tyler Herro,MIA,2022 - 2023
39,14,45,Buddy Hield,IND,2022 - 2023
30,5,46,Fred VanVleet,TOR,2022 - 2023
65,1,47,Paul George,LAC,2022 - 2023
20,10,48,Terry Rozier,CHO,2022 - 2023
136,24,49,Anfernee Simons,POR,2022 - 2023
118,14,50,Bennedict Mathurin,IND,2022 - 2023
