Player_ID,Team_ID,Rank,Name,Team_abv,Season
154,13,1,Stephen Curry,GSW,2020 - 2021
82,24,2,Damian Lillard,POR,2020 - 2021
190,26,3,Nikola JokiÄ,DEN,2020 - 2021
84,20,4,Bradley Beal,WAS,2020 - 2021
106,11,5,Luka DonÄiÄ,DAL,2020 - 2021
140,18,6,Giannis Antetokounmpo,MIL,2020 - 2021
199,16,7,Devin Booker,PHO,2020 - 2021
85,12,8,Julius Randle,NYK,2020 - 2021
139,28,9,Jayson Tatum,BOS,2020 - 2021
15,3,10,Zion Williamson,NOP,2020 - 2021
169,,11,Nikola VuÄeviÄ,2TM,2020 - 2021
169,15,11,Nikola VuÄeviÄ,ORL,2020 - 2021
169,29,11,Nikola VuÄeviÄ,CHI,2020 - 2021
50,8,12,Trae Young,ATL,2020 - 2021
33,29,13,Zach LaVine,CHI,2020 - 2021
186,2,14,De'Aaron Fox,SAC,2020 - 2021
125,19,15,Collin Sexton,CLE,2020 - 2021
146,27,16,Joel Embiid,PHI,2020 - 2021
121,21,17,Kyrie Irving,BRK,2020 - 2021
167,3,18,Brandon Ingram,NOP,2020 - 2021
13,20,19,Russell Westbrook,WAS,2020 - 2021
99,28,20,Jaylen Brown,BOS,2020 - 2021
20,10,21,Terry Rozier,CHO,2020 - 2021
108,22,22,Donovan Mitchell,UTA,2020 - 2021
100,6,23,Anthony Edwards,MIN,2020 - 2021
6,18,24,Khris Middleton,MIL,2020 - 2021
104,13,25,Andrew Wiggins,GSW,2020 - 2021
172,23,26,DeMar DeRozan,SAS,2020 - 2021
174,1,27,Kawhi Leonard,LAC,2020 - 2021
97,,28,Norman Powell,2TM,2020 - 2021
97,5,28,Norman Powell,TOR,2020 - 2021
97,24,28,Norman Powell,POR,2020 - 2021
170,12,29,RJ Barrett,NYK,2020 - 2021
110,14,30,Domantas Sabonis,IND,2020 - 2021
65,1,31,Paul George,LAC,2020 - 2021
134,22,32,Jordan Clarkson,UTA,2020 - 2021
10,6,33,Karl-Anthony Towns,MIN,2020 - 2021
145,22,34,Bojan BogdanoviÄ,UTA,2020 - 2021
203,27,35,Tobias Harris,PHI,2020 - 2021
77,17,36,Jerami Grant,DET,2020 - 2021
117,25,37,Ja Morant,MEM,2020 - 2021
95,30,38,Bam Adebayo,MIA,2020 - 2021
151,5,39,Pascal Siakam,TOR,2020 - 2021
81,14,40,Malcolm Brogdon,IND,2020 - 2021
39,2,41,Buddy Hield,SAC,2020 - 2021
62,11,42,Tim Hardaway Jr.,DAL,2020 - 2021
178,26,43,Michael Porter Jr.,DEN,2020 - 2021
129,25,44,Dillon Brooks,MEM,2020 - 2021
96,16,45,Chris Paul,PHO,2020 - 2021
28,4,46,LeBron James,LAL,2020 - 2021
130,30,47,Jimmy Butler,MIA,2020 - 2021
76,8,48,John Collins,ATL,2020 - 2021
159,24,49,CJ McCollum,POR,2020 - 2021
107,,50,James Harden,2TM,2020 - 2021
